driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
Micron 2200 MTFDHBA256TCK,SSD,238.5,15278,774,9296.0,131.48,0.49,2019,144
Samsung SSD 970 EVO 250GB,SSD,232.9,15216,780,9600.0,126.8,0.52,2018,145
CUK Cyclone M.2 NVMe 500GB,SSD,465.8,15153,781,99999.2,12.12,2.68,2018,146
XPG GAMMIX S11 480GB,SSD,447.1,14981,799,7439.2,161.11,0.21,2018,147
Mushkin Pilot 500GB PCIe NVMe,SSD,465.8,14965,801,11920.0,100.44,0.32,2018,148
WD Black SN750 NVMe 250GB,SSD,232.9,14884,808,7199.2,165.39,0.39,2019,149
PLEXTOR PX-512M9PeY,SSD,476.9,14836,812,7599.2,156.19,0.2,2018,150
Intel SSD Pro 7600p Series 512GB,SSD,476.9,14738,828,10560.0,111.65,0.28,2018,151
NVMe XPG GAMMIX S5,SSD,953.9,14704,832,7599.2,154.8,0.1,2019,152
CT500P2SSD8,SSD,465.8,14694,833,4319.2,272.15,0.12,2020,153
XPG GAMMIX S5,SSD,953.9,14677,836,8239.2,142.51,0.11,2019,154
Samsung SSD 950 Pro 512GB NVMe,SSD,476.9,14644,839,10879.2,107.68,0.29,2015,155
WDC PC SN530 SDBPMPZ-1T00,SSD,953.9,14631,842,31108.8,37.62,0.41,2021,156
PLEXTOR PX-1TM9PeG,SSD,953.9,14623,843,10959.2,106.75,0.14,2018,157
Samsung SSD 960 EVO 250GB,SSD,232.9,14612,846,7199.2,162.38,0.39,2016,158
Samsung PM961 256GB NVMe,SSD,238.5,14425,860,7916.0,145.78,0.41,2016,159
Netac NVMe SSD 512GB,SSD,476.9,14411,861,9412.0,122.49,0.25,2019,160
KINGSTON SNVS500GB,SSD,465.8,14365,867,5580.0,205.96,0.15,2021,161
Samsung SM961 128GB NVMe,SSD,119.2,14303,876,8160.0,140.23,0.86,2016,162
Intel DC P3600 1.2TB NVMe,SSD,1100.0,14301,877,78159.2,14.64,0.89,2014,163
PLEXTOR PX-512M8PeY,SSD,476.9,14217,886,33232.8,34.22,0.87,2016,164
Intel SSD 660p 2TB,SSD,1900.0,14217,887,22156.0,51.33,0.15,2018,165
CT250P2SSD8,SSD,232.9,14098,896,7068.0,159.57,0.38,2020,166
XPG GAMMIX S11 Pro,SSD,238.5,14096,900,3439.2,327.88,0.18,2019,167
Samsung PM981 256GB NVMe,SSD,238.5,14088,902,7120.0,158.3,0.37,2018,168
Intel DC P3500 2TB NVMe,SSD,1800.0,14021,909,95999.2,11.68,0.67,2015,169
KINGSTON SNVS2000GB,SSD,1800.0,14008,912,20710.4,54.11,0.14,2021,170
WDC WDS500G1B0C,SSD,465.8,13913,919,3403.2,327.05,0.09,2019,171
Intel DC P3700 800GB NVMe,SSD,745.2,13887,921,59200.0,18.77,0.99,2015,172
TOSHIBA RD400 NVMe 1TB,SSD,953.9,13829,928,7199.2,153.67,0.09,2016,173
NVMe INTEL SSDPEKNW010T8,SSD,953.9,13816,930,9752.0,113.34,0.13,2021,174
MKNSSDHL1TB-D8,SSD,931.5,13755,933,6559.2,167.76,0.09,2019,175
GIGABYTE GP-GSM2NE3256GNTD,SSD,238.5,13715,938,3519.2,311.77,0.18,2019,176
Samsung SM951 512GB NVMe,SSD,476.9,13707,939,23600.0,46.46,0.62,2015,177
WDC WDS240G2G0C,SSD,223.6,13694,941,3039.2,360.47,0.17,2021,178
NVMe INTEL SSDPEKNW02,SSD,1900.0,13601,951,18799.2,57.88,0.12,2019,179
ADATA SWORDFISH,SSD,931.5,13413,970,6399.2,167.68,0.09,2020,180
Netac NVMe SSD 1TB,SSD,953.9,13382,971,13403.2,79.88,0.18,2020,181
Intel SSD 660p 1TB,SSD,953.9,13368,973,6799.2,157.29,0.09,2018,182
TOSHIBA RD400 NVMe 256GB,SSD,238.5,13349,976,22474.4,47.52,1.18,2016,183
Intel SSD 760p 256GB,SSD,238.5,13235,988,11832.8,89.48,0.62,2018,184
Samsung SM951 M.2 256GB AHCI,SSD,238.5,13141,1000,17860.0,58.86,0.94,2015,185
CT1000P1SSD8,SSD,931.5,13129,1002,14963.2,70.19,0.2,2018,186
Samsung SM951 256GB NVMe,SSD,238.5,13126,1004,15480.0,67.83,0.81,2015,187
TOSHIBA RD400 NVMe 512GB,SSD,476.9,13101,1008,5600.0,187.15,0.15,2016,188
Patriot P300 1TB,SSD,953.9,13085,1011,11584.8,90.36,0.15,2020,189
Samsung SM951 M.2 512GB AHCI,SSD,476.9,13018,1017,25839.2,40.31,0.68,2015,190
PC SN520 NVMe WDC 512GB,SSD,476.9,13009,1019,7199.2,144.56,0.19,2019,191
KINGSTON SNVS1000GB,SSD,931.5,12988,1021,8784.0,118.29,0.12,2021,192
XPG SPECTRIX S40G,SSD,238.5,12953,1024,4399.2,235.56,0.23,2019,193
PLEXTOR PX-512M8PeG,SSD,476.9,12937,1028,31998.4,32.34,0.84,2016,194
Micron 2210 MTFDHBA512QFD,SSD,476.9,12897,1033,9840.8,104.85,0.26,2020,195
HP SSD EX920 256GB,SSD,238.5,12845,1037,3999.2,256.96,0.21,2018,196
XPG GAMMIX S5,SSD,238.5,12845,1038,3679.2,279.29,0.19,2019,197
Patriot M.2 P300,SSD,238.5,12794,1041,2799.2,365.65,0.15,2020,198
PLEXTOR PX-256M9PeG,SSD,238.5,12778,1042,3439.2,297.24,0.18,2018,199
Intel SSD 750 800GB NVMe,SSD,745.2,12659,1059,57200.0,17.71,0.96,2015,200
HP SSD EX900 1TB,SSD,953.9,12614,1064,9199.2,109.69,0.12,2019,201
Intel SSD Pro 7600p Series 256GB,SSD,238.5,12513,1081,12800.0,78.21,0.67,2018,202
Patriot P300 512GB,SSD,476.9,12479,1085,5784.0,172.6,0.15,2020,203
INTEL HBRPEKNX0203AH,SSD,953.9,12432,1091,20720.0,48.0,0.27,2021,204
HP SSD EX900 500GB,SSD,465.8,12331,1098,7840.0,125.83,0.21,2018,205
Lexar 500GB SSD,SSD,465.8,12328,1101,4799.2,205.5,0.13,2020,206
Corsair Force MP500 480GB,SSD,447.1,12327,1102,15519.2,63.54,0.43,2017,207
Intel SSD 750 400GB NVMe,SSD,372.6,12323,1105,31600.0,31.2,1.06,2015,208
Samsung SSD 950 Pro 256GB NVMe,SSD,238.5,12272,1109,14639.2,67.06,0.77,2015,209
Viper M.2 VPN100 256GB,SSD,238.5,12191,1116,4724.0,206.45,0.25,2019,210
PLEXTOR PX-256M9PeGN,SSD,238.5,12099,1119,3199.2,302.55,0.17,2018,211
WD Blue SN550 NVMe SSD 250GB,SSD,232.9,12075,1122,3999.2,241.55,0.21,2020,212
XPG GAMMIX S11 240GB,SSD,223.6,11860,1146,8399.2,112.96,0.47,2018,213
KingSpec 512GB M.2 NVMe NE-512,SSD,476.9,11780,1153,8184.8,115.14,0.21,2018,214
Seagate BarraCuda 510 SSD ZP250CM30001,SSD,232.9,11722,1164,7926.4,118.31,0.43,2020,215
Corsair Force MP500 240GB,SSD,223.6,11656,1170,7199.2,129.52,0.4,2016,216
