id,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
125,AMD Ryzen 5 2600X,12351.2,14053,91.02,2406,15.58,95.0,6,AM4,Desktop,AMD
126,Intel Core i5-10600 @ 3.30GHz,17599.2,13928,63.31,2911,13.23,65.0,6,LGA 1200,Desktop,Intel
127,Intel Core i5-11500T @ 1.50GHz,15360.0,13820,71.98,2571,13.39,35.0,6,LGA 1200,Desktop,Intel
128,Intel Xeon W-1250 @ 3.30GHz,24991.2,13799,44.17,2859,9.15,80.0,6,LGA 1200,Server,Intel
129,Intel Xeon W-1270TE @ 2.00GHz,29360.0,13553,36.93,2796,7.62,35.0,8,LGA 1200,Server,Intel
130,AMD Ryzen 5 3500X,14796.0,13319,72.01,2525,13.65,65.0,6,AM4,Desktop,AMD
131,AMD Ryzen 5 2600,9990.4,13195,105.66,2250,18.02,65.0,6,AM4,Desktop,AMD
132,Intel Xeon E-2334 @ 3.40GHz,24479.2,13189,43.1,3244,10.6,65.0,4,LGA 1200,Server,Intel
133,Intel Core i7-10700T @ 2.00GHz,35839.2,13119,29.28,2661,5.94,35.0,8,LGA 1200,Desktop,Intel
134,Intel Core i5-11400T @ 1.30GHz,14560.0,13078,71.86,2549,14.0,35.0,6,LGA 1200,Desktop,Intel
135,Intel Core i5-10500 @ 3.10GHz,16790.4,13056,62.21,2785,13.27,65.0,6,LGA 1200,Desktop,Intel
136,AMD Ryzen 5 1600X,13556.8,12943,76.38,2183,12.88,95.0,6,AM4,Desktop,AMD
137,Intel Core i7-7800X @ 3.50GHz,15999.2,12864,64.33,2414,12.07,140.0,6,LGA 2066,Desktop,Intel
138,Intel Core i3-12100T,9760.0,12767,104.65,3412,27.96,35.0,4,LGA 1700,Desktop,Intel
139,AMD Ryzen 3 3300X,21599.2,12746,47.21,2689,9.96,65.0,4,AM4,Desktop,AMD
140,Intel Core i5-10400F @ 2.90GHz,9999.2,12439,99.52,2572,20.58,65.0,6,LGA 1200,Desktop,Intel
141,Intel Xeon W-2133 @ 3.60GHz,49360.0,12438,20.16,2274,3.68,140.0,6,LGA 2066,Server,Intel
142,Intel Core i5-10400 @ 2.90GHz,11999.2,12320,82.14,2587,17.25,65.0,6,LGA 1200,Desktop,Intel
143,AMD Ryzen 5 1600,12785.6,12314,77.05,2074,12.98,65.0,6,AM4,Desktop,AMD
144,AMD Ryzen 3 3100,11036.0,11660,84.52,2427,17.59,65.0,4,AM4,Desktop,AMD
145,Intel Core i5-10600T @ 2.40GHz,17040.0,11376,53.41,2422,11.37,35.0,6,LGA 1200,Desktop,Intel
146,Intel Xeon W-2225 @ 4.10GHz,41040.0,10844,21.14,2667,5.2,105.0,4,LGA 2066,Server,Intel
147,Intel Core i5-10500T @ 2.30GHz,15360.0,10365,53.98,2342,12.2,35.0,6,LGA 1200,Desktop,Intel
148,Intel Core i3-10325 @ 3.90GHz,12320.0,10308,66.94,2890,18.77,65.0,4,LGA 1200,Desktop,Intel
149,Intel Core i3-10320 @ 3.80GHz,10716.0,10115,75.51,2848,21.26,65.0,4,LGA 1200,Desktop,Intel
150,Intel Core i5-10400T @ 2.00GHz,14560.0,10052,55.23,2168,11.91,35.0,6,LGA 1200,Desktop,Intel
151,Intel Xeon W-2125 @ 4.00GHz,79916.0,10039,10.05,2599,2.6,120.0,4,LGA 2066,Server,Intel
152,Intel Core i5-10500TE @ 2.30GHz,15600.0,9960,51.08,2145,11.0,35.0,6,LGA 1200,"Laptop, Mobile/Embedded",Intel
153,Intel Core i7-7740X @ 4.30GHz,18079.2,9864,43.65,2805,12.41,112.0,4,LGA 2066,Desktop,Intel
154,Intel Core i3-10305 @ 3.80GHz,12799.2,9689,60.56,2834,17.71,65.0,4,LGA 1200,Desktop,Intel
155,AMD Ryzen 5 3400G,18240.0,9331,40.93,2360,10.35,65.0,4,AM4,Desktop,AMD
156,Intel Core i3-10300 @ 3.70GHz,11119.2,9284,66.79,2677,19.26,65.0,4,LGA 1200,Desktop,Intel
157,Intel Core i3-10105F @ 3.70GHz,6319.2,9141,115.72,2675,33.86,65.0,4,LGA 1200,Desktop,Intel
158,AMD Ryzen 5 1500X,9628.8,9083,75.47,2110,17.53,65.0,4,AM4,Desktop,AMD
159,Intel Core i3-10105 @ 3.70GHz,8560.0,8928,83.44,2718,25.4,65.0,4,LGA 1200,Desktop,Intel
160,Intel Core i3-10100F @ 3.60GHz,6399.2,8854,110.69,2604,32.56,65.0,4,LGA 1200,Desktop,Intel
161,Intel Core i3-10100 @ 3.60GHz,9039.2,8800,77.88,2637,23.34,65.0,4,LGA 1200,Desktop,Intel
162,AMD Ryzen 5 2400G,17120.0,8729,40.79,2158,10.09,65.0,4,AM4,Desktop,AMD
163,Intel Xeon W-2223 @ 3.60GHz,23199.2,8686,29.95,2255,7.78,120.0,4,LGA 2066,Server,Intel
164,Intel Xeon W-2123 @ 3.60GHz,34168.8,8489,19.87,2229,5.22,120.0,4,LGA 2066,Server,Intel
165,Intel Xeon E-2314 @ 2.80GHz,15600.0,8422,43.19,3089,15.84,65.0,4,LGA 1200,Server,Intel
166,Intel Core i3-10100E @ 3.20GHz,10000.0,8229,65.83,2297,18.38,65.0,4,LGA 1200,"Desktop, Mobile/Embedded",Intel
167,Intel Core i3-10305T @ 3.00GHz,11440.0,8136,56.9,2456,17.18,35.0,4,LGA 1200,Desktop,Intel
168,Intel Core i3-10300T @ 3.00GHz,13942.4,7997,45.89,2350,13.49,35.0,4,LGA 1200,Desktop,Intel
169,Intel Core i3-10105T @ 3.00GHz,9760.0,7850,64.34,2350,19.26,35.0,4,LGA 1200,Desktop,Intel
170,AMD Ryzen 5 1400,8772.0,7783,70.98,1904,17.36,65.0,4,AM4,Desktop,AMD
171,AMD Ryzen 3 2300X,14247.2,7566,42.48,2364,13.28,65.0,4,AM4,Desktop,AMD
172,Intel Core i3-10100T @ 3.00GHz,9760.0,7405,60.7,2319,19.01,35.0,4,LGA 1200,Laptop,Intel
173,AMD Ryzen 3 3200G,11599.2,7188,49.57,2218,15.3,65.0,4,AM4,Desktop,AMD
174,AMD Ryzen 3 1300X,9200.0,6925,60.22,2096,18.23,65.0,4,AM4,Desktop,AMD
175,AMD Ryzen 3 2200G,9920.0,6781,54.69,2060,16.61,65.0,4,AM4,Desktop,AMD
176,Intel Core i5-7640X @ 4.00GHz,5200.0,6675,102.69,2511,38.63,112.0,4,LGA 2066,Desktop,Intel
177,AMD Ryzen 3 1200,8284.0,6304,60.88,1927,18.61,65.0,4,AM4,Desktop,AMD
178,Intel Xeon W-2104 @ 3.20GHz,20400.0,6202,24.32,1836,7.2,120.0,4,LGA 2066,Server,Intel
179,Intel Xeon W-2102 @ 2.90GHz,22959.2,5077,17.69,1753,6.11,120.0,4,LGA 2066,Server,Intel
180,AMD Athlon 240GE,11040.0,4551,32.98,1986,14.39,35.0,2,AM4,Desktop,AMD
181,Intel Pentium Gold G6605 @ 4.30GHz,9940.0,4493,36.16,2658,21.39,58.0,2,LGA 1200,Desktop,Intel
182,AMD Athlon 3000G,4399.2,4480,81.47,1999,36.36,35.0,2,AM4,Desktop,AMD
183,AMD Athlon 220GE,10320.0,4450,34.5,1984,15.38,35.0,2,AM4,Laptop,AMD
184,Intel Pentium Gold G6600 @ 4.20GHz,8588.0,4396,40.95,2577,24.0,58.0,2,LGA 1200,Desktop,Intel
185,Intel Pentium Gold G6505 @ 4.20GHz,6000.0,4378,58.37,2652,35.35,58.0,2,LGA 1200,Desktop,Intel
