id,name,count,capacity,freq,timings,formFactor,type,price,link,value
102,Patriot Viper Steel RGB PVSR432G360C0K ,2,16,3600,20-26-26-46,"DIMM, 288-pin",DDR4,8790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-patriot-pvsr432g360c0k-rtl-pc4-24000-cl20-2-1497636/,0.4113765642775882
103,AMD ,1,2,800,6-6-6-18,"DIMM, 240-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-amd-ddr2-2gb-800-dimm-ret-1166428/,0.7357798165137615
104,Kingston VALUERAM KVR16N11/8WP ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3,3490,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-kingston-kvr16n11-8wp-rtl-pc3-12800-cl11-dimm-1520958/,0.4607449856733525
105,Kingston VALUERAM KVR16N11S8/4WP ,1,4,1600,11-11-11,"DIMM, 240-pin",DDR3,2120,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-kingston-kvr16n11s8-4wp-rtl-pc3-12800-cl11-dim-1520882/,0.7566037735849057
106,KINGSPEC KS1600D3P13504G ,1,4,1600,11-11-11,"DIMM, 240-pin",DDR3L,1030,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-kingspec-ks1600d3p13504g-rtl-pc3-12800-dimm-2-1742090/,1.5572815533980582
107,Digma DGMAS31600004S ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3L,790,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-digma-dgmas31600004s-rtl-pc3-12800-cl11-so-di-1892906/,2.030379746835443
108,Kingston VALUERAM KVR26S19S6/4 ,1,4,2666,19-19-19,"SO-DIMM, 260-pin",DDR4,1590,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26s19s6-4-ddr4-4gb-2666-so-dimm-ret-1107381/,1.679245283018868
109,AMD Radeon R7 Performance Series R7432G2606U2S-U ,1,32,2666,19-19-19-43,"DIMM, 288-pin",DDR4,5890,https://www.citilink.ru/product/pamyat-ddr4-32gb-2666mhz-amd-r7432g2606u2s-u-radeon-r7-performance-ser-1777221/,0.4580645161290322
110,Crucial CT8G4SFRA266 ,1,8,2666,19-19-19,"SO-DIMM, 260-pin",DDR4,2090,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-crucial-ct8g4sfra266-rtl-pc4-21300-cl19-so-dim-1825003/,1.279425837320574
111,Kingston VALUERAM KVR32N22S8/16 ,1,16,3200,22-22-22,"DIMM, 288-pin",DDR4,3790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kvr32n22s8-16-rtl-pc4-25600-cl22-dim-1538445/,0.8485488126649077
112,Kingston Fury Beast Black RGB KF432C16BBA/16 ,1,16,3200,16-20-20,"DIMM, 288-pin",DDR4,4490,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bba-16-fury-beast-black-rgb-1790361/,0.7162583518930957
113,A-Data AD4S32008G22-SGN ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4s32008g22-sgn-rtl-pc4-25600-cl22-so-1738815/,2.153020134228188
